province,date,year,period,inflation_mom,hhi_sectoral,export_intensity,migas_share,resilience,d_log_brent,d_log_usd_idr,d_log_wti,d_log_coal,d_log_palm_oil,d_log_nickel,d_log_tin,migas_share_x_d_log_brent,export_intensity_x_d_log_usd_idr,resilience_x_d_log_usd_idr,inflation_distress,distress_threshold
Aceh,2024-07-01,2024,Juli,-0.11,0.2877003052378392,1.4336126640659357,0.0725618617172273,0.5799411319595135,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,0.0007214584361387894,-0.0081919386784045,-0.0033138952446351458,0,0.39
Bali,2024-07-01,2024,Juli,0.1,0.2768170256993871,1.0603687314474053,0.0004174356322392,0.3500221079855414,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,4.150423532371957e-06,-0.006059151012155958,-0.002000093690977297,0,0.39
Banten,2024-07-01,2024,Juli,-0.24,0.2871811184362252,6.999209870932707,0.0050096419182349,0.2467611956004288,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,4.9809201947295106e-05,-0.03999483228429902,-0.0014100409638091193,0,0.39
Bengkulu,2024-07-01,2024,Juli,-0.7,0.2851289905273774,0.9348015629292702,0.0,0.0607593954602458,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,0.0,-0.00534163604433747,-0.00034719087953339267,0,0.39
Di Yogyakarta,2024-07-01,2024,Juli,-0.03,0.2711092208189328,1.412695687677658,0.0,-0.4028690310357976,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,0.0,-0.008072415049599192,0.002302071180309903,0,0.39
Dki Jakarta,2024-07-01,2024,Juli,-0.06,0.2749148522676608,1.8711550438395703,0.0031066958241235,0.0372724854279303,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,3.088884239995894e-05,-0.010692140046703753,-0.00021298215527153523,0,0.39
Gorontalo,2024-07-01,2024,Juli,-0.95,0.2968693360150885,0.5505314413244441,0.0,-0.8049222568187376,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,0.0,-0.0031458426120990713,0.004599480692393484,0,0.39
Jambi,2024-07-01,2024,Juli,-0.82,0.2929257487892158,3.62140192553813,0.5822720180213659,0.915671589026756,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,0.005789336844279685,-0.020693387584709497,-0.005232323691665852,0,0.39
Jawa Barat,2024-07-01,2024,Juli,0.06,0.3039456533837742,6.708955010542176,0.0089238495036349,-0.2777914255756434,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,8.872686497929012e-05,-0.03833626014900242,0.0015873536700269934,0,0.39
Jawa Tengah,2024-07-01,2024,Juli,-0.13,0.2928908329960576,3.1425969384153705,0.0365844340869901,-0.2017794502973293,0.009942667112791348,-0.005714192461979906,0.022402557024562952,-0.010612926574706805,0.02533812437342231,-0.06878461125260493,-0.0053911996276188034,0.00036374684963679925,-0.01795740373653424,0.001153006613871448,0,0.39
