province_code,province,area_type,year,period,value,date,metric
7500,Gorontalo,C Industri Pengolahan,2022,Triwulan IV,542.41,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2022,Tahunan,2170.69,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2023,Triwulan I,532.38,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2023,Triwulan II,556.74,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2023,Triwulan III,594.59,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2023,Triwulan IV,590.23,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2023,Tahunan,2273.93,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2022,Triwulan I,5.46,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2022,Triwulan II,5.87,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2022,Triwulan III,6.26,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2022,Triwulan IV,6.36,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2022,Tahunan,23.96,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2023,Triwulan I,6.32,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2023,Triwulan II,6.32,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2023,Triwulan III,6.47,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2023,Triwulan IV,6.53,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,D Pengadaan Listrik dan Gas,2023,Tahunan,25.65,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan I,6.52,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan II,7.0,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan III,7.06,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Triwulan IV,7.18,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,Tahunan,27.76,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan I,7.06,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan II,7.09,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan III,7.44,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Triwulan IV,7.6,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,Tahunan,29.2,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2022,Triwulan I,1205.38,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2022,Triwulan II,1266.01,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2022,Triwulan III,1343.49,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2022,Triwulan IV,1374.87,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2022,Tahunan,5189.74,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2023,Triwulan I,1351.21,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,F Konstruksi,2023,Triwulan II,1375.34,2023-06-01,pdrb_adhb_quarterly
